,City,Cloud,Humidity,Lat,Lon,Temp,Wind
276,Tarpon Springs,1,62,28.15,-82.76,57.2,4.7
277,Gat,0,41,14.69,-16.54,75.2,4.7
278,Praia da Vitoria,12,100,38.73,-27.07,62.02,15.03
279,Dunedin,80,88,-45.87,170.5,55.72,3.51
280,Liverpool,75,87,53.41,-2.98,44.6,17.22
281,Kisangani,68,100,0.52,25.21,70.3,2.06
282,Klyuchi,92,97,52.25,79.17,38.8,14.14
283,Lasa,88,49,34.92,32.53,68.0,10.29
284,Koumac,80,75,-20.56,164.28,82.99,10.45
285,Novobiryusinskiy,48,89,56.96,97.71,31.6,4.63
286,Ola,0,43,59.58,151.3,12.2,8.95
287,Faya,0,33,18.39,42.45,60.8,6.76
288,Tabalosos,40,88,-6.39,-76.63,77.0,3.36
289,Putina,40,66,-14.91,-69.87,50.0,5.82
290,Pangnirtung,20,78,66.15,-65.72,-17.9,10.22
291,Tari,88,88,12.41,4.49,72.82,5.64
292,San Quintin,20,47,17.54,120.52,78.8,2.24
293,Alta Floresta,0,94,-9.87,-56.08,75.25,2.06
294,Victoria,75,88,5.28,115.24,82.4,3.36
295,Saldanha,36,84,41.42,-6.55,38.35,4.07
296,Chumikan,44,63,54.72,135.31,26.47,4.63
297,Harrisburg,1,41,40.27,-76.89,42.8,13.87
298,Tiksi,68,83,71.64,128.87,5.23,3.74
299,Calvia,20,71,39.57,2.51,51.8,11.41
300,Saint-Joseph,0,67,43.56,6.97,46.4,4.7
301,Voyinka,92,93,45.87,33.99,29.98,13.8
302,San Jose de Guanipa,48,56,8.89,-64.17,78.85,15.03
303,Geraldton,20,25,49.72,-86.95,28.4,5.82
304,East London,88,100,-33.02,27.91,69.22,16.82
305,George,20,88,6.63,3.35,80.6,2.24
306,Arman,0,43,59.7,150.17,12.2,8.95
307,Taoudenni,0,25,22.68,-3.98,49.87,8.99
308,Berlevag,76,100,70.86,29.09,24.04,19.17
309,Portland,75,49,45.52,-122.67,48.2,17.22
310,Umm Kaddadah,0,21,13.6,26.69,59.95,4.18
311,Talakan,88,76,50.29,130.28,38.44,6.42
312,Provideniya,88,94,64.42,-173.23,32.05,35.05
313,Honningsvag,76,100,70.98,25.97,25.75,22.19
314,Wiarton,5,73,44.74,-81.13,26.6,12.57
315,Karratha,32,31,-20.74,116.85,98.29,4.63
316,Pangody,0,64,65.85,74.49,-34.82,3.96
317,Nanortalik,0,99,60.14,-45.24,24.04,35.84
318,Oistins,20,78,13.07,-59.53,78.8,14.99
319,Diffa,0,35,13.32,12.61,70.75,6.2
320,Petropavlovsk-Kamchatskiy,0,41,53.05,158.65,24.8,13.42
321,Santa Cruz Cabralia,20,88,-16.28,-39.02,78.8,5.82
322,Kampot,64,85,10.62,104.18,80.38,6.64
323,Kaeo,92,95,-35.1,173.78,68.32,10.33
324,Abalak,24,22,15.46,6.28,70.66,13.8
325,Rabo de Peixe,40,93,37.8,-25.58,60.8,13.87
326,Tramandai,20,82,-29.98,-50.13,67.69,12.35
327,Maceio,0,88,-9.67,-35.74,77.0,4.7
328,Sobolevo,92,91,54.43,31.9,30.52,18.28
329,Tsotilion,80,100,40.27,21.32,37.72,2.06
330,Midland,0,24,32.0,-102.08,82.4,17.22
331,Yakeshi,0,73,49.28,120.73,35.29,8.66
332,Tazovskiy,0,56,67.47,78.7,-32.21,3.18
333,Fairbanks,1,33,64.84,-147.72,30.2,9.17
334,Abaza,8,59,52.65,90.1,44.92,3.4
335,Bandarbeyla,92,100,9.49,50.81,77.77,2.17
336,Sheridan,75,37,39.65,-105.03,68.0,8.66
337,Verkhnyaya Inta,64,66,65.99,60.32,-4.85,2.95
338,Hami,0,49,42.84,93.51,62.65,10.0
339,Nome,1,63,30.04,-94.42,62.6,5.82
340,Nanakuli,40,88,21.39,-158.15,73.4,5.82
341,Kattivakkam,75,78,13.22,80.32,80.6,4.7
342,Odessa,0,24,31.85,-102.37,82.4,17.22
343,Faanui,20,100,-16.48,-151.75,82.99,9.89
344,Deputatskiy,56,84,69.3,139.9,3.97,3.96
345,Khasan,0,65,42.43,130.64,40.42,5.41
346,Butterworth,75,78,5.4,100.37,84.2,4.7
347,Potam,90,24,27.6,-110.38,78.8,2.24
348,Husavik,0,81,50.56,-96.99,21.79,7.76
349,Eenhana,20,98,-17.48,16.34,65.62,6.42
350,Banyo,8,84,6.75,11.81,60.76,2.84
351,High Level,75,57,58.52,-117.13,19.4,5.82
352,Mount Isa,0,38,-20.73,139.49,87.8,16.11
353,Mlimba,80,97,-8.78,35.81,68.86,1.61
354,Lethem,8,59,3.38,-59.8,81.55,14.81
355,Pacific Grove,75,66,36.62,-121.92,57.2,12.75
356,Tarko-Sale,0,73,64.92,77.78,-24.56,6.31
357,San Cristobal,75,82,-0.39,-78.55,55.4,9.17
358,Ahipara,64,100,-35.17,173.16,66.07,3.29
359,Indiaroba,80,85,-11.53,-37.51,76.87,7.2
360,Vrangel,0,92,42.73,133.08,34.57,5.3
361,Caravelas,68,100,-17.73,-39.27,81.37,14.25
362,Kavaratti,0,100,10.57,72.64,83.35,11.01
363,Ust-Nera,0,74,64.57,143.24,0.46,2.62
364,Ocean Springs,1,71,30.41,-88.83,60.8,4.7
365,Sabang,92,92,13.72,123.58,78.67,16.37
366,Dubbo,40,50,-32.25,148.6,75.2,21.92
367,Saint George,90,93,39.45,22.34,50.0,5.82
368,Polovinnoye,88,91,54.79,65.99,24.76,9.33
369,Matinhos,75,94,-25.82,-48.53,71.6,3.36
370,Evanston,90,69,42.04,-87.69,39.2,6.93
371,Sibolga,48,95,1.74,98.78,75.07,2.39
372,Ferrol,75,87,43.48,-8.23,48.2,19.46
373,Garden City,1,48,40.73,-73.63,46.4,5.82
374,Ayan,92,55,40.67,33.6,50.5,11.01
375,Ayna,0,60,38.55,-2.07,41.0,14.99
376,Kieta,68,93,-6.22,155.63,84.25,5.64
377,Road Town,40,100,18.42,-64.62,73.4,10.29
378,Kem,0,92,2.68,33.77,62.2,3.96
379,Guantanamo,0,80,-16.14,-62.05,76.87,5.64
380,Port Lincoln,0,73,-34.72,135.86,76.6,8.43
381,Castro-Urdiales,80,87,43.38,-3.22,42.8,3.36
382,Antalaha,76,93,-14.9,50.28,75.61,7.65
383,Waipawa,12,83,-39.94,176.59,63.37,11.9
384,Coffs Harbour,75,88,-30.3,153.13,71.6,10.29
385,Mhlume,100,100,-26.03,31.81,59.0,3.36
386,Sault Sainte Marie,1,73,46.49,-84.36,26.6,8.05
387,Arnedo,48,64,42.23,-2.1,37.4,5.82
388,La Vista,1,44,41.18,-96.03,57.2,10.29
389,Chara,90,93,39.42,22.43,50.0,5.82
390,Kinablangan,56,100,7.69,126.55,79.03,7.43
391,Tallahassee,1,35,30.44,-84.28,57.2,3.36
392,Novosheshminsk,64,85,55.06,51.22,15.22,8.32
393,Glenwood Springs,90,64,39.55,-107.33,57.2,17.22
394,Saint-Augustin,75,86,44.83,-0.61,33.8,2.24
395,Gravdal,68,93,59.79,5.78,35.6,14.99
396,Elko,90,87,40.83,-115.76,44.6,9.17
397,Marabba,0,44,12.35,32.18,65.35,3.74
398,Boralday,90,54,43.36,76.86,57.2,8.95
399,Nantucket,90,93,41.28,-70.1,39.2,9.17
400,Pangoa,8,97,-12.12,-73.0,65.08,2.06
401,Albania,20,96,5.76,-73.91,60.58,3.74
402,Salta,0,88,-24.79,-65.41,62.6,6.93
403,Thornaby,64,81,54.54,-1.29,44.6,10.29
404,Flinders,75,68,-34.58,150.85,69.8,5.82
405,Cam Ranh,32,86,11.92,109.15,76.96,13.13
406,Kharp,64,65,66.82,65.8,-22.31,2.84
407,Booue,88,96,-0.09,11.94,73.63,2.62
408,Beruwala,0,92,6.48,79.98,84.79,10.89
409,Zabid,0,41,14.2,44.5,39.25,2.51
410,Kirakira,80,100,-10.46,161.92,81.1,18.28
411,Brae,88,93,60.4,-1.35,42.8,9.17
412,Maniitsoq,24,93,65.42,-52.9,2.98,7.99
413,Ilula,88,100,-7.68,36.04,61.66,1.72
414,Bethel,75,55,60.79,-161.76,35.6,8.05
415,Voznesenye,88,91,61.02,35.48,25.66,2.51
416,Erechim,75,100,-27.64,-52.27,69.8,13.87
417,Baryatino,88,90,54.31,34.52,30.07,11.56
418,Kudahuvadhoo,0,100,2.67,72.89,83.8,9.89
419,Khabary,92,96,53.63,79.53,35.65,13.47
420,Soyo,100,95,-6.13,12.37,77.05,3.06
421,Mana,90,86,43.52,20.24,26.6,2.24
422,Samarai,32,100,-10.62,150.67,82.9,6.31
423,Wawa,76,97,9.9,4.41,71.47,8.77
424,Itoman,40,45,26.12,127.67,64.4,11.41
425,Cap Malheureux,20,78,-19.98,57.61,78.8,10.29
426,Vytegra,80,91,61.01,36.45,25.57,5.75
427,Wlodawa,0,65,51.55,23.55,12.79,4.74
428,Tairua,100,78,-37.02,175.85,66.43,7.76
429,Lamar,1,16,38.09,-102.62,69.8,10.29
430,Kodinsk,76,72,58.6,99.18,26.29,3.51
431,Balad,0,100,-6.76,108.42,84.25,1.28
432,Naples,1,55,26.14,-81.79,62.6,9.17
433,Nichinan,40,40,31.65,131.31,53.6,6.93
434,Bani,8,91,15.89,120.27,78.13,2.73
435,Tchibanga,88,100,-2.92,11.0,74.35,2.62
436,Bud,92,93,62.91,6.91,35.6,5.82
437,Weiser,90,58,44.25,-116.97,53.6,21.92
438,Comodoro Rivadavia,0,54,-45.87,-67.48,59.0,6.93
439,Roald,88,100,62.58,6.12,35.6,3.36
440,Grand Gaube,20,78,-20.01,57.66,78.8,10.29
441,Muisne,24,94,0.61,-80.02,70.3,2.73
442,Cairns,75,70,-16.92,145.77,84.2,11.41
443,Sungaipenuh,80,99,-2.08,101.38,68.32,1.16
444,Chute-aux-Outardes,1,74,49.12,-68.38,28.4,3.36
445,Hennef,75,87,50.78,7.28,42.8,6.93
446,Half Moon Bay,1,57,37.46,-122.43,55.4,20.8
447,Solnechnyy,0,76,50.72,136.64,33.67,4.63
448,Novoagansk,80,79,61.94,76.66,8.47,7.43
449,Port Blair,0,100,11.67,92.75,82.63,4.74
450,Florianopolis,75,83,-27.6,-48.55,71.6,2.24
451,Vila Velha,40,78,-3.71,-38.6,82.4,6.93
452,Nha Trang,32,86,12.24,109.19,76.96,13.13
453,Xuddur,0,88,4.12,43.89,67.6,5.64
454,Wichita Falls,1,47,33.91,-98.49,77.0,14.99
455,Belmonte,8,88,40.36,-7.35,34.93,2.73
456,Wasco,90,82,35.59,-119.34,62.6,6.93
457,Bismarck,90,88,46.81,-100.78,33.8,16.11
458,Midyat,75,76,37.42,41.36,53.6,6.93
459,Ban Nahin,0,55,18.24,104.21,76.15,2.95
460,Kokoda,24,81,-8.88,147.74,75.07,1.16
461,Mandalgovi,0,76,45.76,106.27,40.69,4.52
462,Sechura,92,85,-5.56,-80.82,71.74,5.3
463,Tessalit,0,18,20.2,1.01,51.49,17.27
464,Coahuayana,0,52,18.62,-100.35,72.37,2.95
465,Hauterive,90,96,46.09,3.45,39.2,4.7
466,Lakes Entrance,0,74,-37.88,147.99,71.65,9.44
467,Svetlaya,24,100,46.54,138.33,30.52,5.75
468,Vyazemskiy,0,51,47.53,134.76,46.27,3.85
469,Digoin,90,96,46.48,3.98,39.2,6.93
470,Bahia Blanca,56,76,-38.72,-62.27,62.74,7.2
471,Innisfail,90,86,52.02,-113.95,30.2,9.17
472,Polis,88,49,35.04,32.42,68.0,10.29
473,Puerto Quijarro,0,89,-19.0,-57.72,76.78,3.06
474,Toamasina,40,94,-18.17,49.38,75.2,2.84
475,Aberdeen,40,93,45.47,-98.49,35.6,9.17
476,Annau,40,81,37.89,58.52,51.8,2.24
477,Nguruka,24,100,-5.11,31.04,62.92,3.51
478,Ramsar,0,87,36.92,50.64,51.8,11.56
479,Alamos,64,72,-36.9,-62.36,56.08,0.94
480,Rawson,0,31,-43.3,-65.11,68.23,13.24
481,Mirnyy,76,94,56.57,36.46,28.99,16.26
482,Nizwa,0,70,22.93,57.53,52.48,4.18
483,Leh,36,83,34.16,77.58,4.69,0.83
484,Pathein,0,73,16.78,94.73,83.8,4.63
485,Seoul,40,54,37.57,126.98,42.8,3.36
486,Chipinge,12,97,-20.19,32.62,65.89,3.4
487,Thinadhoo,68,100,0.53,72.93,84.16,13.47
488,Ust-Barguzin,8,73,53.41,109.03,37.99,2.17
489,Alice Springs,0,28,-23.7,133.88,86.0,13.87
490,Velsk,88,89,61.07,42.1,20.17,9.44
491,Dire Dawa,68,86,9.59,41.86,52.66,2.84
492,Nadvoitsy,64,80,63.89,34.27,16.48,9.22
493,Menongue,76,100,-14.66,17.68,62.29,1.61
494,Kabare,0,100,-1.65,29.38,49.69,2.39
495,Palmer,1,34,61.6,-149.11,37.4,6.93
496,Kamenka,76,89,53.19,44.05,19.18,8.88
497,San Andres,56,100,13.32,122.68,79.84,23.31
498,Porterville,75,82,36.07,-119.02,66.2,6.93
499,Sabaudia,0,60,41.3,13.03,39.2,5.82
500,Black River,75,78,18.03,-77.85,80.6,13.87
501,Benghazi,40,54,32.12,20.07,55.4,14.99
502,Kedougou,0,53,12.56,-12.19,68.68,4.07
503,Kawalu,0,81,-7.38,108.21,76.96,3.06
504,La Rioja,0,65,-29.41,-66.86,65.62,2.95
505,Amiens,90,86,49.89,2.3,41.0,8.05
506,Tawang,44,68,27.59,91.87,40.6,1.72
507,Fort Collins,90,66,40.55,-105.07,68.0,4.41
508,Northam,75,100,51.04,-4.21,44.6,18.34
509,Goderich,0,81,43.74,-81.71,23.86,10.78
510,Ilulissat,48,70,69.22,-51.1,-0.41,16.11
511,Angoche,92,100,-16.23,39.91,80.65,6.2
512,Changji,0,72,32.07,116.17,67.6,4.52
513,Gariaband,0,30,20.63,82.06,83.17,3.29
514,San Patricio,32,76,-26.98,-56.83,76.6,3.29
515,Itarema,80,91,-2.92,-39.92,78.31,6.87
516,Zanesville,1,47,39.94,-82.01,33.8,3.36
517,Luang Prabang,75,83,19.89,102.14,69.8,1.83
518,Guerrero Negro,92,65,27.97,-114.04,66.34,4.18
519,Talnakh,8,67,69.49,88.39,-23.21,3.06
520,Kendari,8,71,-3.99,122.52,87.58,6.98
521,Puerto Colombia,40,88,10.99,-74.96,80.6,17.22
522,Neryungri,76,68,56.66,124.71,23.23,9.78
523,Ponta Delgada,40,93,37.73,-25.67,60.8,13.87
524,Beyneu,92,80,45.32,55.19,35.38,17.16
525,Vila Franca do Campo,40,93,37.72,-25.43,60.8,13.87
526,Yar-Sale,0,76,66.83,70.83,-25.1,7.87
527,Yanam,0,75,16.73,82.22,83.62,3.96
528,Simao,12,88,22.76,100.79,65.62,2.95
529,Margate,75,52,-43.03,147.26,66.2,12.75
530,Destin,1,29,30.39,-86.5,62.6,9.17
531,Neepawa,75,86,50.23,-99.46,30.2,10.29
532,Esmeraldas,0,93,-19.76,-44.31,69.8,1.12
533,Bela,0,63,26.23,66.31,60.49,1.72
534,Atasu,80,93,48.68,71.64,31.51,16.49
535,Kampene,32,98,-3.59,26.67,66.97,1.39
536,Morgan City,1,67,29.7,-91.21,60.8,5.82
537,Hualmay,32,88,-11.1,-77.61,66.7,1.28
538,Takaka,92,100,-40.86,172.81,57.25,11.68
539,Ulladulla,75,68,-35.36,150.48,69.8,5.82
540,Giddalur,0,59,15.38,78.93,84.07,4.18
541,San Roque,56,100,0.3,-78.23,49.33,1.61
542,Koslan,76,86,63.46,48.9,9.91,3.4
543,Meulaboh,32,100,4.14,96.13,82.09,6.2
544,Coihaique,75,93,-45.58,-72.07,48.2,9.17
545,Mahibadhoo,0,98,3.78,72.97,84.43,10.0
546,Gay,90,85,51.47,58.44,21.2,15.66
547,Lata,0,65,30.78,78.62,46.54,2.06
548,Tongliao,92,44,43.61,122.27,47.89,6.42
549,Aklavik,20,55,68.22,-135.01,10.4,4.52
550,Okhansk,0,84,57.72,55.39,6.8,6.71
